baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
AFF1	9418.59496242707	-0.00685789138205744	0.0496389776575957	-0.138155371155354	0.89011762544174	0.902028873287071	AFF1	UNCHANGED
AFF2	1969.89809976514	0.390504434397093	0.157028665962798	2.4868353303696	0.0128885040741779	0.0166903143247725	AFF2	UNCHANGED
AFF3	1155.90110230902	0.823656020132894	0.120350463195599	6.84381263073539	7.71127689425649e-12	1.66848163753704e-11	AFF3	UNCHANGED
AFF4	5530.11146853884	-0.285721520654285	0.0597222045600301	-4.78417571419505	1.71690441515258e-06	2.87557097945614e-06	AFF4	UNCHANGED
AFG3L2	2213.21575975545	-0.478367116069449	0.0398139768114431	-12.0150548721865	2.96172979668556e-33	1.29397690035481e-32	AFG3L2	UNCHANGED
AFMID	498.725442462098	0.0303549978822541	0.0630870266299988	0.481160699810504	0.630402290009412	0.662095441833057	AFMID	UNCHANGED
AFTPH	3348.77937367908	0.0218296151972258	0.0397652335134806	0.548962328860095	0.583031302467264	0.616081041996658	AFTPH	UNCHANGED
AGA	667.573470724137	-0.227154234370089	0.0441927668781873	-5.14007722114834	2.74625580948508e-07	4.80373834231062e-07	AGA	UNCHANGED
AGAP1	153.65877828944	-1.02708878587597	0.160878310605912	-6.38425889734716	1.72229498821971e-10	3.50557716608825e-10	AGAP1	UNCHANGED
AGAP2	1959.14648529189	0.0538368539788983	0.0687851782646182	0.782681027179818	0.433814446382332	0.468947912152987	AGAP2	UNCHANGED
AGAP3	1012.83242437111	-0.397475989080673	0.0947863144747334	-4.19339006145898	2.74816293938051e-05	4.29597431965947e-05	AGAP3	UNCHANGED
AGAP4	352.403000740011	3.7566192486101	0.073134533252916	51.3658743895835	0	0	AGAP4	UP
AGAP6	586.520883510875	0.773787407460744	0.0441453084660706	17.5281912019137	8.73027967659918e-69	7.98019278066338e-68	AGAP6	UNCHANGED
AGBL2	68.5296198434012	-0.570978701836315	0.0917847390365087	-6.22084572914894	4.94482181690366e-10	9.87063553236947e-10	AGBL2	UNCHANGED
AGBL3	67.2040458861127	-2.58769057355511	0.092645583898592	-27.9310730707634	1.11943106276832e-171	2.94154114204543e-170	AGBL3	DOWN
AGBL5	1096.90229402752	-0.409448485801696	0.0496563051694667	-8.24564945789529	1.64265567410133e-16	4.28852289348217e-16	AGBL5	UNCHANGED
AGER	672.371575769029	-0.887004189517015	0.0600372527848466	-14.7742301383399	2.14797527037733e-49	1.35868157328682e-48	AGER	UNCHANGED
AGFG1	5186.53021024225	-0.17581752167224	0.0753993557399206	-2.33181729401904	0.0197103048469651	0.0250018464994946	AGFG1	UNCHANGED
AGFG2	310.308767206223	0.807135846765976	0.073858755202026	10.9280997839486	8.46014452003308e-28	3.17364554492469e-27	AGFG2	UNCHANGED
AGGF1	1580.68262115367	0.253683707894999	0.0413656340761	6.13271653054559	8.63910042708511e-10	1.70576480458742e-09	AGGF1	UNCHANGED
AGK	806.796370577322	0.466223165060785	0.0378831171429079	12.3068849720585	8.31717242885615e-35	3.78384502864732e-34	AGK	UNCHANGED
AGL	1117.07155783275	0.301324453199987	0.0514617153145913	5.85531304889385	4.7611233034787e-09	9.089644542093e-09	AGL	UNCHANGED
AGMAT	72.6582012978352	0.139329015408094	0.0988507810997506	1.40948825955656	0.158690842615655	0.18217955981932	AGMAT	UNCHANGED
AGPAT1	2252.63708667882	0.289705382261909	0.0447954660107322	6.46729252001755	9.97743932849266e-11	2.05734557388559e-10	AGPAT1	UNCHANGED
AGPAT2	1664.03747763717	-0.543843646411951	0.0527557603697969	-10.3087064350854	6.43617651953449e-25	2.20712279702905e-24	AGPAT2	UNCHANGED
AGPAT3	3099.59178160415	-0.218395054615075	0.0726791734977214	-3.00491934765772	0.00265651280594288	0.00364439201771382	AGPAT3	UNCHANGED
AGPAT4	969.891734973398	0.277209861220327	0.0892029421076345	3.10763137034021	0.00188593144871893	0.00261488651599236	AGPAT4	UNCHANGED
